2025-01-23,23:46:33,27,4,27,2,28,7,29,
2025-01-23,23:46:34,27,5,27,2,28,7,28,9
2025-01-23,23:46:35,27,7,27,4,28,7,28,9
2025-01-23,23:46:36,27,5,27,2,28,7,29,
2025-01-23,23:46:37,27,6,27,2,28,7,29,
2025-01-23,23:46:38,27,5,27,2,28,7,28,9
2025-01-23,23:46:39,27,6,27,3,28,7,28,8
2025-01-23,23:46:40,27,5,27,2,28,7,28,9
2025-01-23,23:46:41,27,5,27,3,28,7,29,
2025-01-23,23:46:42,27,5,27,2,28,7,28,9
2025-01-23,23:46:43,27,5,27,2,28,6,29,
2025-01-23,23:46:44,27,6,27,3,28,7,28,9
2025-01-23,23:46:45,27,5,27,1,28,7,29,
2025-01-23,23:46:46,27,5,27,3,28,7,28,8
2025-01-23,23:46:47,27,5,27,3,28,7,28,9
2025-01-23,23:46:48,27,5,27,2,28,7,28,8
2025-01-23,23:46:49,27,4,27,2,28,7,29,1
2025-01-23,23:46:50,27,5,27,3,28,7,29,
2025-01-23,23:46:51,27,4,27,3,28,6,28,9
2025-01-23,23:46:52,27,5,27,2,28,7,29,
2025-01-23,23:46:53,27,5,27,3,28,7,28,9
2025-01-23,23:46:54,27,5,27,3,28,7,29,
2025-01-23,23:46:55,27,5,27,2,28,7,28,9
2025-01-23,23:46:56,27,5,27,3,28,7,29,
2025-01-23,23:46:57,27,4,27,4,28,6,28,9
2025-01-23,23:46:58,27,5,27,2,28,6,28,9
2025-01-23,23:46:59,27,4,27,3,28,8,28,8
2025-01-23,23:47:00,27,6,27,2,28,7,28,9
2025-01-23,23:47:01,27,5,27,3,28,7,28,8
2025-01-23,23:47:02,27,5,27,3,28,7,28,9
2025-01-23,23:47:03,27,5,27,2,28,7,29,
2025-01-23,23:47:04,27,4,27,3,28,6,29,
2025-01-23,23:47:05,27,5,27,2,28,8,29,
2025-01-23,23:47:06,27,6,27,3,28,7,28,9
2025-01-23,23:47:07,27,6,27,3,28,7,28,9
2025-01-23,23:47:08,27,5,27,4,28,7,28,6
2025-01-23,23:47:09,27,6,27,3,28,7,29,
2025-01-23,23:47:10,27,6,27,4,28,7,29,
2025-01-23,23:47:11,27,5,27,2,28,7,29,
2025-01-23,23:47:12,27,4,27,2,28,6,28,9
2025-01-23,23:47:13,27,6,27,3,28,7,28,9
2025-01-23,23:47:14,27,5,27,3,28,7,29,
2025-01-23,23:47:15,27,5,27,3,28,7,28,8
2025-01-23,23:47:16,27,5,27,3,28,6,28,9
2025-01-23,23:47:17,27,4,27,2,28,8,29,
2025-01-23,23:47:18,27,4,27,2,28,7,28,9
2025-01-23,23:47:19,27,5,27,3,28,8,29,1
2025-01-23,23:47:20,27,4,27,2,28,7,28,9
2025-01-23,23:47:21,27,4,27,2,28,7,28,9
2025-01-23,23:47:22,27,4,27,1,28,6,29,
2025-01-23,23:47:23,27,5,27,2,28,7,29,
2025-01-23,23:47:24,27,5,27,3,28,8,29,
2025-01-23,23:47:25,27,6,27,2,28,7,28,7
2025-01-23,23:47:26,27,5,27,2,28,8,29,
2025-01-23,23:47:27,27,5,27,3,28,7,29,
2025-01-23,23:47:28,27,2,27,1,28,6,28,7
2025-01-23,23:47:29,27,5,27,3,28,8,28,8
2025-01-23,23:47:30,27,4,27,3,28,6,28,9
2025-01-23,23:47:31,27,5,27,2,28,6,28,9
2025-01-23,23:47:32,27,5,27,2,28,7,28,9
2025-01-23,23:47:33,27,5,27,2,28,7,28,9
2025-01-23,23:47:34,27,5,27,4,28,7,28,9
2025-01-23,23:47:35,27,7,27,4,28,6,28,9
2025-01-23,23:47:36,27,5,27,2,28,7,29,
2025-01-23,23:47:37,27,5,27,3,28,7,29,
2025-01-23,23:47:38,27,5,27,3,28,7,28,9
2025-01-23,23:47:39,27,6,27,2,28,7,29,
2025-01-23,23:47:40,27,5,27,2,28,7,28,9
2025-01-23,23:47:41,27,5,27,3,28,7,28,9
2025-01-23,23:47:42,27,5,27,3,28,6,28,9
2025-01-23,23:47:43,27,6,27,3,28,7,29,
2025-01-23,23:47:44,27,5,27,3,28,8,29,
2025-01-23,23:47:45,27,6,27,3,28,7,28,9
2025-01-23,23:47:46,27,5,27,2,28,7,29,
2025-01-23,23:47:47,27,4,27,3,28,7,29,
2025-01-23,23:47:48,27,4,27,3,28,6,29,
2025-01-23,23:47:49,27,5,27,3,28,8,28,9
2025-01-23,23:47:50,27,5,27,3,28,7,28,9
2025-01-23,23:47:51,27,5,27,3,28,6,29,
2025-01-23,23:47:52,27,4,27,4,28,7,28,9
2025-01-23,23:47:53,27,5,27,3,28,7,28,9
2025-01-23,23:47:54,27,5,27,2,28,7,28,9
2025-01-23,23:47:55,27,4,27,2,28,7,28,9
2025-01-23,23:47:56,27,5,27,2,28,6,28,9
2025-01-23,23:47:57,27,5,27,3,28,7,29,
2025-01-23,23:47:58,27,5,27,2,28,8,28,9
2025-01-23,23:47:59,27,3,27,2,28,8,28,9
2025-01-23,23:48:00,27,5,27,2,28,7,29,
2025-01-23,23:48:01,27,5,27,2,28,7,28,9
2025-01-23,23:48:02,27,5,27,2,28,8,29,
2025-01-23,23:48:03,27,4,27,2,28,8,29,
2025-01-23,23:48:04,27,5,27,3,28,7,29,
2025-01-23,23:48:05,27,5,27,2,28,7,29,
2025-01-23,23:48:06,27,6,27,2,28,8,28,9
2025-01-23,23:48:07,27,5,27,3,28,7,28,8
2025-01-23,23:48:08,27,5,27,2,28,6,28,9
2025-01-23,23:48:09,27,5,27,3,28,5,28,8
2025-01-23,23:48:10,27,5,27,2,28,7,28,9
2025-01-23,23:48:11,27,5,27,2,28,7,29,
2025-01-23,23:48:12,27,5,27,2,28,7,28,9
2025-01-23,23:48:13,27,5,27,2,28,6,29,
2025-01-23,23:48:14,27,6,27,3,28,8,29,
2025-01-23,23:48:15,27,5,27,2,28,8,28,8
2025-01-23,23:48:16,27,5,27,2,28,7,29,
2025-01-23,23:48:17,27,5,27,4,28,7,28,9
2025-01-23,23:48:18,27,5,27,2,28,7,28,9
2025-01-23,23:48:19,27,5,27,2,28,7,28,9
2025-01-23,23:48:20,27,5,27,2,28,7,28,9
2025-01-23,23:48:21,27,6,27,4,28,7,29,
2025-01-23,23:48:22,27,6,27,4,28,6,29,
2025-01-23,23:48:23,27,5,27,3,28,7,28,9
2025-01-23,23:48:24,27,5,27,2,28,7,29,
2025-01-23,23:48:25,27,5,27,2,28,6,28,8
2025-01-23,23:48:26,27,5,27,3,28,5,29,
2025-01-23,23:48:27,27,6,27,3,28,7,28,9
2025-01-23,23:48:28,27,6,27,2,28,6,28,9
2025-01-23,23:48:29,27,5,27,2,28,6,29,
2025-01-23,23:48:30,27,7,27,3,28,7,29,
2025-01-23,23:48:31,27,5,27,3,28,6,28,9
2025-01-23,23:48:32,27,5,27,2,28,7,28,9
2025-01-23,23:48:33,27,5,27,2,28,6,29,
2025-01-23,23:48:34,27,4,27,2,28,6,29,
2025-01-23,23:48:35,27,5,27,3,28,6,28,9
2025-01-23,23:48:36,27,5,27,3,28,7,28,8
2025-01-23,23:48:37,27,4,27,5,28,6,29,
2025-01-23,23:48:38,27,5,27,1,28,7,29,
2025-01-23,23:48:39,27,4,27,3,28,7,28,9
2025-01-23,23:48:40,27,5,27,4,28,8,29,
2025-01-23,23:48:41,27,6,27,4,28,7,29,
